proto,ac,active,actuator,air,alarm,angle,apparent,atmospheric,avg,boiler,bypass,ch2o,chilled,chiller,circ,cloudage,cmd,co,co2,concentration,condensate,condenser,controller,cool,cooling,coolingCoil,coolingTower,crac,current,damper,daytime,delta,demand,dessicantDehumidifier,device,dewPoint,direction,discharge,duct,ductArea,economizer,economizing,effective,efficiency,elec,enable,energy,entering,enthalpy,equip,evaporator,exhaust,export,extraction,faceBypass,fan,fcu,feelsLike,filter,flow,flowInverter,flue,flux,freezeStat,freq,ground,header,heat,heatExchanger,heatWheel,heating,heatingCoil,hot,humidifier,humidity,hvacMode,illuminance,imbalance,import,infiltration,inlet,irradiance,isolation,leaving,level,light,load,luminous,magnitude,makeup,meter,mixed,mixing,motor,net,networking,nh3,no2,o3,occ,occupancy,occupied,outside,perimeterHeat,pf,phase,pipe,pm01,pm10,pm25,point,power,precipitation,pressure,pump,purge,rack,reactive,refrig,reheat,return,run,sensor,server,solar,sp,space,speed,stage,standby,steam,temp,thd,thermal,thermostat,total,tvoc,unocc,valve,velocity,ventilation,vfd,visibility,volt,volume,warm,water,weather,weatherCond,well,wetBulb,wind,zone
return fan motor equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
return fan point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
return fan run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
return fan run sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,✓,✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
return fan vfd freq cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",""
return fan vfd freq sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",""
return fan vfd speed cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","",✓,"","","","","","","","","","",""
return fan vfd speed sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"",✓,"","","","",✓,"","","","","","","","","","","","","",✓,"","","","","","","","","","",""
return heatingCoil equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
return hot water heat valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
return point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
return stage:1 cool run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,✓,"","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","",""
return stage:1 heat run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,✓,"","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","",""
return steam heat valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
run sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
server device,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
space,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","",""
stage:1 cool run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","",""
stage:1 heat run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","",""
steam boiler equip,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass equip,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass flow sensor point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass flow sp point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pipe equip,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pressure sensor point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pressure sp point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump alarm sensor point,"","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump enable cmd point,"","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump enable sensor point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump equip,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump motor equip,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump run cmd point,"","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump run sensor point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam bypass pump vfd freq cmd point,"","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","",""
steam bypass pump vfd freq sensor point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","",""
steam bypass pump vfd speed cmd point,"","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","",✓,"","",✓,"","","","","","","","","","",✓,"","","","","","","","","","",""
steam bypass pump vfd speed sensor point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","",✓,"","",✓,"","","","","","","","","","",✓,"","","","","","","","","","",""
steam bypass temp sensor point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","",""
steam bypass temp sp point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","",""
steam bypass valve actuator equip,"","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
steam bypass valve cmd point,"","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
steam bypass valve sensor point,"","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
steam delta flow sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam delta pressure sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam delta temp sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","",""
steam header equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header flow sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header flow sp point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pipe equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pressure sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pressure sp point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump alarm sensor point,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump enable cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump enable sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump motor equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump run cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump run sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
steam header pump vfd freq cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","",""
steam header pump vfd freq sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","","","",""
steam header pump vfd speed cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","",✓,"","",✓,"","","","","","","","","","",✓,"","","","","","","","","","",""
steam header pump vfd speed sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","",✓,"","",✓,"","","","","","","","","","",✓,"","","","","","","","","","",""
steam header temp sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","",""
steam header temp sp point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","",""
steam header valve actuator equip,"","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
steam header valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
steam header valve sensor point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
steam heat valve cmd point,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","",""
steam heatExchanger equip,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","",""
